번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총직원수,본사직원수,공장사무직직원수,공장판매직직원수,공장생산직직원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
1,일반음식점,07_24_04_P,3660000,3660000-101-2023-00652,11/20/23,,03,폐업,02,폐업,10/15/24,,,,,32,302-812,대전광역시 서구 관저동 1020,"대전광역시 서구 관저중로 86-1, 1층 일부호 (관저동)",35378,본전집,10/15/24 10:59,U,10/17/24 2:40,기타,230036.0401,311064.9974,기타,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,32,,,
2,일반음식점,07_24_04_P,3550000,3550000-101-2023-00169,11/20/23,,03,폐업,02,폐업,7/23/24,,,,,36.1,407-826,인천광역시 계양구 효성동 33-8 1층 일부호,"인천광역시 계양구 안남로573번길 25, 1층 일부호 (효성동)",21093,도깨비,7/23/24 15:29,U,7/25/24 2:40,한식,174214.7628,448093.019,한식,0,0,,,,0,0,0,0,0,,0,0,N,36.1,,,
3,일반음식점,07_24_04_P,5710000,5730000-101-2023-00460,11/20/23,,03,폐업,02,폐업,12/19/23,,,,,42.31,361-815,충청북도 청주시 흥덕구 복대동 2838,"충청북도 청주시 흥덕구 짐대로72번길 41, 1층 111호 (복대동)",28418,상구맥주,12/19/23 14:33,U,12/21/23 2:40,정종/대포집/소주방,238172.1354,347836.1026,정종/대포집/소주방,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,42.31,,,
4,일반음식점,07_24_04_P,3780000,3790000-101-2023-00250,11/15/23,,03,폐업,02,폐업,3/29/24,,,,,44.01,461-210,경기도 성남시 수정구 창곡동 559-3 우남 이타워 프라자 109호,"경기도 성남시 수정구 위례서일로 12, 우남 이타워 프라자 1층 109호 (창곡동)",13647,다 아는 맛,3/29/24 11:56,U,3/31/24 2:40,한식,212084.5108,440356.5974,한식,0,0,,,,0,0,0,0,0,,0,0,N,44.01,,,
5,일반음식점,07_24_04_P,4060000,4060000-101-2023-00770,11/15/23,,03,폐업,02,폐업,11/26/23,,,,,0,413-901,경기도 파주시 문산읍 사목리 494-1 임진각,"경기도 파주시 문산읍 임진각로 177, 파주임진각광장",10808,북파주어촌계 장석우,11/27/23 4:15,U,11/29/23 2:40,한식,177067.3323,487447.4285,한식,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
6,일반음식점,07_24_04_P,4301000,4301000-101-2023-00144,11/15/23,,03,폐업,02,폐업,11/18/23,,,,,18,,강원특별자치도 철원군 동송읍 양지리 445-1 3호,,,두루미평화타운,11/19/23 4:15,U,11/21/23 2:40,기타,,,기타,0,0,,,,0,0,0,0,0,,0,0,N,18,,,
7,일반음식점,07_24_04_P,4301000,4301000-101-2023-00143,11/15/23,,03,폐업,02,폐업,11/18/23,,,,,18,,강원특별자치도 철원군 동송읍 양지리 445-1 2호,,,버들골 교육회관,11/19/23 4:15,U,11/21/23 2:40,기타,,,기타,0,0,,,,0,0,0,0,0,,0,0,N,18,,,
8,일반음식점,07_24_04_P,3930000,5560000-101-2023-00271,9/22/23,,03,폐업,02,폐업,10/17/23,,,,,,425-907,경기도 안산시 단원구 원곡동 846-8 삼우상가 103호,"경기도 안산시 단원구 라성안길 1, 삼우상가 103호 (원곡동)",15382,청춘살롱,10/17/23 11:08,U,10/20/23 2:40,한식,182324.6213,424967.518,한식,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
9,일반음식점,07_24_04_P,5590000,5590000-101-2023-00276,9/22/23,,03,폐업,02,폐업,4/23/24,,,,,27.14,482-835,경기도 양주시 백석읍 오산리 23-2 1층일부호,"경기도 양주시 백석읍 고릉말로 151, 1층 일부호",11509,오산리,4/23/24 15:08,U,4/25/24 2:40,기타,199150.7125,476886.0888,기타,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,27.14,,,
10,일반음식점,07_24_04_P,5590000,5590000-101-2023-00345,11/27/23,,03,폐업,02,폐업,12/26/23,,,,,43.7,482-130,경기도 양주시 옥정동 965-9 선양타워 104호,"경기도 양주시 옥정동로7다길 88, 선양타워 104호 (옥정동)",11473,미나리산장 옥정점,12/26/23 14:55,U,12/28/23 2:40,한식,208103.7689,479870.8825,한식,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,43.7,,,
11,일반음식점,07_24_04_P,5590000,5590000-101-2023-00344,11/27/23,,03,폐업,02,폐업,12/11/23,,,,,128.93,482-010,경기도 양주시 고암동 597-1 1층 일부,"경기도 양주시 고암길 154-25, 1층 일부 (고암동)",11457,이가육전칡냉면,12/11/23 10:33,U,12/13/23 2:40,냉면집,206505.6322,481037.7259,냉면집,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,128.93,,,
12,일반음식점,07_24_04_P,3910000,3910029-101-2023-00449,11/27/23,,03,폐업,02,폐업,12/18/23,,,,,39.9,,경기도 평택시 고덕동 1973-1 우성고덕타워,"경기도 평택시 고덕중앙로 200-4, 우성고덕타워 1층 108호 (고덕동)",18014,국수나무 고덕국제점,12/18/23 17:21,U,12/20/23 2:40,분식,203861.2192,394009.645,분식,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,39.9,,,
13,일반음식점,07_24_04_P,5530000,5530000-101-2023-01536,11/27/23,,03,폐업,02,폐업,12/21/23,,,,,,445-150,경기도 화성시 오산동 1089 동탄역 롯데캐슬,"경기도 화성시 동탄역로 160, 롯데백화점 동탄점 B1층 (오산동)",18478,도나스데이,12/22/23 4:15,U,12/24/23 2:40,기타,208569.6424,410949.2635,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
14,일반음식점,07_24_04_P,5530000,5530000-101-2023-01533,11/27/23,,03,폐업,02,폐업,2/8/24,,,,,43.03,445-130,경기도 화성시 영천동 681-3,"경기도 화성시 동탄순환대로 704, 성산A타워 1층 102호 (영천동)",18466,누셀붕,2/8/24 13:16,U,2/11/24 2:40,기타,209765.5711,411749.3754,기타,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,43.03,,,
15,일반음식점,07_24_04_P,5530000,5530000-101-2023-01532,11/27/23,,03,폐업,02,폐업,10/24/24,,,,,31.54,445-160,경기도 화성시 반송동 63-6,"경기도 화성시 동탄공원로1길 22-21, 1층 일부(101호) (반송동)",18436,파파스푸드,10/24/24 16:46,U,10/26/24 2:40,기타,205356.2229,411260.1492,기타,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,31.54,,,
16,일반음식점,07_24_04_P,3740000,3770000-101-2023-00430,12/4/23,,03,폐업,02,폐업,5/7/24,,,,,33.8,442-827,경기도 수원시 팔달구 인계동 268-4,"경기도 수원시 팔달구 장다리로245번길 6, 1층 (인계동)",16472,참치이야기,5/7/24 9:57,U,5/9/24 2:40,일식,202267.6711,418884.2633,일식,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,33.8,,,
17,일반음식점,07_24_04_P,3740000,3760000-101-2023-00439,12/4/23,,03,폐업,02,폐업,10/11/24,,,,,65.8,441-886,경기도 수원시 권선구 권선동 1330 권선자이 이편한세상,"경기도 수원시 권선구 권광로 55, 상가A동 1층 103호 (권선동, 권선자이 이편한세상)",16582,카페 레지덩,10/11/24 13:49,U,10/13/24 2:40,기타,202272.3145,416779.0376,기타,0,0,,,,0,0,0,0,0,,0,0,N,65.8,,,
